raw_genre,canonical_genre,layer,note
classical,Classical,rule,
jazz,Jazz,rule,
folk,Folk / Acoustic,rule,
blues,Blues,rule,
hip-hop,Hip-Hop / Rap,rule,
country,Country,rule,
pop,Pop,rule,
soundtrack,Soundtrack / Musical,rule,
rap,Hip-Hop / Rap,rule,
rock,Rock,rule,
indie,Indie / Alternative,rule,
ambient,Ambient / Instrumental,rule,
electronic,Electronic / Dance,rule,
soul,R&B / Soul,rule,
hard rock,Rock,rule,
baroque,Classical,rule,
piano,Ambient / Instrumental,rule,artist-level piano tag = solo piano artists -> Ambient/Instrumental
bluegrass,Country,rule,10.8k rows -> Country; could be its own bucket
contemporary classical,Classical,rule,
indie rock,Indie / Alternative,rule,
classic rock,Rock,rule,
all,,junk,
punk,Punk / Hardcore,rule,
progressive rock,Rock,rule,
experimental,,junk,owner-approved junk - too vague to bucket
indie pop,Indie / Alternative,rule,
rnb,R&B / Soul,rule,
reggae,Reggae,rule,
new age,Ambient / Instrumental,rule,
instrumental,Ambient / Instrumental,rule,
heavy metal,Metal,rule,
acoustic,Folk / Acoustic,rule,
celtic,Folk / Acoustic,rule,
alternative rock,Indie / Alternative,exact,owner-approved: Indie/Alternative
alternative,Indie / Alternative,exact,owner-approved: Indie/Alternative
post-punk,Indie / Alternative,exact,owner-approved: NOT punk -> Indie/Alternative
canadian,,junk,
death metal,Metal,rule,
funk,R&B / Soul,rule,
black metal,Metal,rule,
hardcore,Punk / Hardcore,rule,
blues rock,Rock,rule,Rock wins over Blues by rule order
alt-country,Country,rule,
industrial,Electronic / Dance,exact,Electronic vs Rock/Metal - went Electronic
synthpop,Pop,rule,
dubstep,Electronic / Dance,rule,
house,Electronic / Dance,rule,
garage rock,Rock,rule,
lo-fi,Indie / Alternative,exact,"Last.fm lo-fi = indie lo-fi, not lofi-beats -> Indie"
thrash metal,Metal,rule,
idm,Electronic / Dance,rule,
progressive metal,Metal,rule,
comedy,,junk,owner-approved junk - not music-mood material
french,,junk,
power pop,Pop,rule,
post-rock,Rock,rule,
new wave,Rock,exact,Rock vs Pop - either defensible
latin,Latin,rule,
guitar,Ambient / Instrumental,exact,instrumental guitarists -> Ambient/Instrumental
psychedelic,Rock,rule,
ska,Reggae,rule,plain ska -> Reggae; ska punk -> Punk
shoegaze,Indie / Alternative,rule,
metalcore,Metal,rule,
smooth jazz,Jazz,rule,
drum and bass,Electronic / Dance,rule,
christian,Christian / Gospel,rule,
composer,Classical,exact,mostly classical; film composers leak in
punk rock,Punk / Hardcore,rule,
salsa,Latin,rule,
rockabilly,Rock,rule,
gospel,Christian / Gospel,rule,
grindcore,Metal,rule,
techno,Electronic / Dance,rule,
ebm,Electronic / Dance,rule,
grunge,Rock,rule,
trip-hop,Electronic / Dance,rule,
doom metal,Metal,rule,
emo,Punk / Hardcore,exact,Punk vs Indie - went Punk
disco,R&B / Soul,rule,owner-approved: R&B/Soul (funk family)
dub,Reggae,rule,
americana,Country,rule,
hip hop,Hip-Hop / Rap,rule,
psychedelic rock,Rock,rule,
german,,junk,
stoner rock,Rock,rule,
tango,Latin,rule,
trap,Hip-Hop / Rap,rule,"Last.fm trap = rap trap, not EDM trap"
noise rock,Rock,rule,
power metal,Metal,rule,
dance,Electronic / Dance,rule,
j-pop,J-Pop / Anime,exact,
chillout,Ambient / Instrumental,rule,
pop punk,Punk / Hardcore,rule,
melodic death metal,Metal,rule,
swedish,,junk,
trance,Electronic / Dance,rule,
russian,,junk,
soft rock,Rock,rule,
post-hardcore,Punk / Hardcore,rule,
spanish,Latin,exact,nationality tag -> Latin (unlike french/german -> junk)
opera,Classical,rule,
reggaeton,Latin,exact,
renaissance,Classical,rule,
minimal,Electronic / Dance,exact,
k-pop,K-Pop,exact,
british,,junk,
american,,junk,
downtempo,Electronic / Dance,rule,
dream pop,Indie / Alternative,exact,
opm,SEA Pop,exact,owner-approved: separate SEA Pop bucket
usa,,junk,
finnish,,junk,
electropop,Pop,exact,
video game music,Soundtrack / Musical,rule,
japanese,J-Pop / Anime,exact,nationality tag -> J-Pop
classical guitar,Classical,rule,
progressive electro house,Electronic / Dance,rule,
neo soul,R&B / Soul,rule,
industrial metal,Metal,rule,
underground hip-hop,Hip-Hop / Rap,rule,
sludge,Metal,rule,
nu metal,Metal,rule,
gangsta rap,Hip-Hop / Rap,rule,
swing,Jazz,rule,
schlager,Pop,rule,German schlager -> Pop
darkwave,Electronic / Dance,exact,
free jazz,Jazz,rule,
psytrance,Electronic / Dance,rule,
electro house,Electronic / Dance,rule,
sertanejo,Latin,rule,
electro,Electronic / Dance,rule,
southern hip hop,Hip-Hop / Rap,rule,
mpb,Latin,rule,
southern rock,Rock,rule,
indie poptimism,Indie / Alternative,rule,
dark ambient,Ambient / Instrumental,rule,
horrorcore,Hip-Hop / Rap,exact,
kids,,junk,
iranian,World,rule,
dancehall,Reggae,rule,
spoken word,,junk,
surf,Rock,rule,
oldies,,junk,
folk rock,Folk / Acoustic,exact,exact-mapped to Folk (rule order would say Rock)
afrobeat,World,rule,
brazil,Latin,rule,
breakbeat,Electronic / Dance,rule,
a cappella,,junk,
latin hip hop,Hip-Hop / Rap,rule,
early music,Classical,rule,
gangster rap,Hip-Hop / Rap,rule,
broadway,Soundtrack / Musical,rule,
need to rate,,junk,
deep house,Electronic / Dance,rule,
chiptune,Electronic / Dance,rule,
synthwave,Electronic / Dance,rule,
hardcore punk,Punk / Hardcore,rule,
symphonic metal,Metal,rule,
turkish,World,rule,
j-rock,J-Pop / Anime,exact,
children,,junk,
tropical,Latin,exact,
dirty south,Hip-Hop / Rap,exact,
dark electro,Electronic / Dance,rule,
cantopop,C-Pop / Mandopop,exact,
horror punk,Punk / Hardcore,rule,
canada,,junk,
anime,J-Pop / Anime,exact,could argue Soundtrack; grouped with J-Pop
urban contemporary,R&B / Soul,exact,
disney,Soundtrack / Musical,rule,
lounge,Ambient / Instrumental,rule,
pop edm,Electronic / Dance,rule,
new jack swing,R&B / Soul,exact,
gothic metal,Metal,rule,
choral,Classical,rule,
bolero,Latin,rule,
flamenco,Latin,rule,
noise,,junk,
alternative metal,Metal,rule,
musical,Soundtrack / Musical,rule,
happy,,junk,
gothic rock,Rock,rule,
chill,Ambient / Instrumental,rule,owner-approved: Ambient/Instrumental
world,World,rule,
forro,Latin,rule,
alt-rock,Indie / Alternative,exact,
garage,Rock,exact,ambiguous (garage rock vs UK garage) - went Rock
big room,Electronic / Dance,rule,
avant-garde,,junk,
latin pop,Latin,exact,
drone,Ambient / Instrumental,rule,
medieval,Classical,rule,
chicago-house,Electronic / Dance,rule,
study,Ambient / Instrumental,rule,owner-approved: Ambient/Instrumental
club,Electronic / Dance,rule,
heavy-metal,Metal,rule,
black-metal,Metal,rule,
guitar virtuoso,Rock,exact,
j-idol,J-Pop / Anime,exact,
malay,SEA Pop,exact,owner-approved: separate SEA Pop bucket
math rock,Rock,rule,
honky-tonk,Country,rule,
indian,World,rule,
pagode,Latin,rule,
goth,Rock,exact,
new-age,Ambient / Instrumental,rule,
deep-house,Electronic / Dance,rule,
party,,junk,
detroit-techno,Electronic / Dance,rule,
drum-and-bass,Electronic / Dance,rule,
world-music,World,rule,
hardstyle,Electronic / Dance,rule,
mandopop,C-Pop / Mandopop,exact,
romance,,junk,
oi,Punk / Hardcore,exact,
united states,,junk,
death-metal,Metal,rule,
metal,Metal,rule,
show-tunes,Soundtrack / Musical,rule,
dance pop,Pop,exact,
mexico,Latin,exact,
power-pop,Pop,rule,
minimal-techno,Electronic / Dance,rule,
synth-pop,Pop,rule,
argentina,Latin,exact,
hip pop,Hip-Hop / Rap,exact,
rock n roll,Rock,rule,
psychobilly,Punk / Hardcore,rule,
ostrock,Rock,rule,
sleep,Ambient / Instrumental,rule,owner-approved: Ambient/Instrumental
rapcore,Hip-Hop / Rap,exact,
deathcore,Metal,exact,
album rock,Rock,rule,
g-funk,Hip-Hop / Rap,exact,
rock-n-roll,Rock,rule,
chinese,C-Pop / Mandopop,exact,nationality tag -> C-Pop per owner's framing
samba,Latin,rule,
pop-film,Soundtrack / Musical,exact,
italian,,unmapped,
african,World,rule,
irish,Folk / Acoustic,exact,
christian rock,Christian / Gospel,exact,Christian bucket wins over Rock
brutal death metal,Metal,rule,
permanent wave,Rock,exact,
post-teen pop,Pop,rule,
j-dance,J-Pop / Anime,exact,
edm,Electronic / Dance,rule,
aor,Rock,rule,
progressive-house,Electronic / Dance,rule,
ethereal,Ambient / Instrumental,exact,
instrumental hip-hop,Hip-Hop / Rap,rule,
covers,,junk,
breakcore,Electronic / Dance,rule,
quebec,,junk,
hard-rock,Rock,rule,
cloud rap,Hip-Hop / Rap,rule,
christmas,,junk,
minimalism,Classical,exact,
chanson francaise,Folk / Acoustic,exact,
mariachi,Latin,rule,
cabaret,,junk,
australian,,junk,
groove,,junk,
saxophone,Jazz,exact,
punk-rock,Punk / Hardcore,rule,
indie-pop,Indie / Alternative,rule,
pop rock,Rock,rule,
bay area,,junk,
zydeco,Blues,rule,Blues vs World/Folk
psych-rock,Rock,rule,
crossover,,junk,
vocal jazz,Jazz,rule,
klezmer,World,rule,
country rock,Country,rule,Country wins over Rock by rule order
technical death metal,Metal,rule,
ranchera,Latin,rule,
glam rock,Rock,rule,
